Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2024,35496.4,35890.75,35353.85,35695.9,17623657,2074.6
02-JAN-2024,35668.05,35701.8,35106.15,35283.1,18439234,2895.14
03-JAN-2024,35039.05,35076.95,34367.75,34395.45,24861533,3676.31
04-JAN-2024,34552.95,34800.35,34236.6,34409.4,26946973,4630.83
05-JAN-2024,34469.7,34991.55,34459.45,34851.7,24561089,3881.91
08-JAN-2024,34876.65,34881.8,34419.75,34514.65,15045046,2333.53
09-JAN-2024,34926.65,35139.35,34608.45,34662.45,18703812,2952.13
10-JAN-2024,34693,34941,34546.95,34834.35,16291250,2674.57
11-JAN-2024,34978.3,35104.95,34665.1,34735.25,21928232,3750.79
12-JAN-2024,35673,36581.1,35659.55,36521.7,67145819,11716.84
15-JAN-2024,37538.45,37929.3,37109.35,37201.95,99246973,10636.61
16-JAN-2024,37132.4,37132.4,36600.45,36727.1,28835598,3946.31
17-JAN-2024,36299.6,37107.2,36289.3,36960.4,35576084,5811.43
18-JAN-2024,36784.35,36826.45,36136.4,36730.5,34235335,6264.49
19-JAN-2024,37065,37263.95,36831.35,37069.25,24371607,4557.06
20-JAN-2024,37259.8,37310.65,36643.7,36697.5,10653354,1460.48
23-JAN-2024,36958.3,37383.45,36424.9,36521.35,31151729,6097.1
24-JAN-2024,36761.6,37174.2,36435.3,37090.15,23570462,4550.63
25-JAN-2024,36938.6,36938.6,36354.1,36496.2,30826693,5344.18
29-JAN-2024,36553.8,36653.25,36351.5,36531.9,18309101,3617.42
30-JAN-2024,36682.1,37022.9,36321.1,36381.95,19523683,3748.14
31-JAN-2024,36373.95,36704.5,36228.85,36638.4,25117373,4659.14
01-FEB-2024,36632.5,36951.4,36451.15,36534.55,18718023,3546.55
02-FEB-2024,36730.15,37663.95,36729.95,37323.25,26859773,4976.27
05-FEB-2024,37441,37574.45,37097.95,37162.15,15430785,2865.2
06-FEB-2024,37267.15,38286,37161.6,38246.3,36882082,6269.58
07-FEB-2024,38345.4,38373.45,37734.55,37767.75,17749710,3252.94
08-FEB-2024,37893.45,38101.5,37625.75,37851.6,20865415,3678.53
09-FEB-2024,37891.5,38082.05,37443.75,37699.25,16093101,3023.27
12-FEB-2024,37770,38285.35,37770,37998,38322893,4972.46
13-FEB-2024,38070.4,38258.5,37605.3,38204,20462096,2825.48
14-FEB-2024,37724.75,37844.7,37200.05,37775.4,22949601,3309.08
15-FEB-2024,38053.3,38270.45,37735.6,37999.55,19193939,3022.94
16-FEB-2024,38211.55,38516.55,38131.85,38477.05,,
19-FEB-2024,38526.95,38559.85,38042.65,38363.15,17687856,2627.05
20-FEB-2024,38190.75,38347.9,37780.2,38029.7,15684960,2704.21
21-FEB-2024,37938.85,38001.45,37302.6,37405.9,18939297,3331.09
22-FEB-2024,37535.75,38192.1,37395.35,38130.15,23917564,4324.67
23-FEB-2024,38487.5,38490.45,37980.1,38045.65,22926945,3709.27
26-FEB-2024,37991.9,38005.85,37384.9,37598.65,14505060,3284.97
27-FEB-2024,37606.7,37929.3,37606.7,37870.25,17917209,3416.36
28-FEB-2024,37926.65,38138.35,37594.5,37741.75,14799770,2511.43
29-FEB-2024,37616.2,37896.05,37414.95,37720.4,26378415,5002.48
01-MAR-2024,37823.7,37888.85,37462.85,37516.05,18800716,3686.96
02-MAR-2024,37695.35,37744.9,37574.35,37605.8,1123219,205.43
04-MAR-2024,37634.25,37733.25,37279.45,37314.8,14489617,3107.15
05-MAR-2024,37180.05,37202.3,36613.1,36720.75,18131793,3330.77
06-MAR-2024,36627.65,37050.15,36134,37001.8,20098500,3686.11
07-MAR-2024,37057.95,37318.95,36838.35,37099.9,20519523,3881.66
11-MAR-2024,37082,37203.85,36820.35,36988.3,20990399,3955.04
12-MAR-2024,36991.5,37568.95,36981.7,37224.25,20585390,4243.62
13-MAR-2024,37320.8,37556.6,36689.1,36946.45,21772997,4067.41
14-MAR-2024,36901.9,37723.35,36607.65,37679.6,26011601,4845.33
15-MAR-2024,37524.35,37592.05,37264.9,37500.7,30323251,5684.82
18-MAR-2024,37458.85,37522.85,36746.6,36886.05,14270748,3400.61
19-MAR-2024,36562,36573.05,35783.4,35814.65,25686606,6386.67
20-MAR-2024,35875.6,36115.2,35697.85,35748.9,15033269,2722.98
21-MAR-2024,36039.2,36296.35,35816.8,36026.8,26609425,5098.93
22-MAR-2024,35256.6,35419.25,34701.75,35188.4,48826144,8475.18
26-MAR-2024,35003.1,35400.15,34938,34969.1,29106956,4734.57
27-MAR-2024,35057.4,35121.55,34693.6,34744.35,22350652,3567.37
28-MAR-2024,34862.6,35203.25,34786.65,34898.15,35071590,6288.98
01-APR-2024,35224,35265.3,34963.8,35042.8,16258154,3224.78
02-APR-2024,34900.15,34984.35,34769.9,34793.95,17535682,3151.13
03-APR-2024,34682.6,35289.7,34626.2,35047.4,27273586,5124.23
04-APR-2024,35314.7,35649.6,34915.15,35426.7,31144574,5522.34
05-APR-2024,35331.8,35371.1,35146.5,35247.9,14977720,2640.22
08-APR-2024,35381,35429.95,35018.6,35064.15,27216512,3885.87
09-APR-2024,35241.9,35568.8,35002.8,35079.35,24195645,3666.25
10-APR-2024,35191.15,35350.6,34952.25,35293.15,19165777,3066.13
12-APR-2024,35222.55,35363.6,34980.85,35018.1,31885468,5506.09
15-APR-2024,34845.8,35188.15,34335.15,34463.6,26076989,4731.3
16-APR-2024,34108.6,34175.6,33504.35,33574.95,37495269,5862.97
18-APR-2024,33746.4,34102.15,33445.35,33498.65,47236555,7067.84
19-APR-2024,33047.35,33538.55,32915.5,33368.3,43286788,6200.94
22-APR-2024,33488.75,33627.55,33341.65,33538.75,25341580,4193.93
23-APR-2024,33752.85,33803.85,33614.25,33714.55,18854584,3249.2
24-APR-2024,33829.55,33840.1,33393.65,33442.55,13419516,2473.62
25-APR-2024,33283.45,33659.45,33283.45,33554.4,28960545,5046.38
26-APR-2024,33743.1,34307.45,33574.6,33666.2,51249751,7913.28
29-APR-2024,33640.75,33792.85,33527.05,33579.4,27976505,4414.77
30-APR-2024,33547.7,33688.95,33145.9,33200.95,25658003,4131.32
02-MAY-2024,33059.3,33332.2,33059.3,33203.35,30439149,4607.67
03-MAY-2024,33248.5,33305,32690.5,32908.4,31148224,6429.57
06-MAY-2024,33041.2,33435.35,32990.8,33217.1,18207746,3363.28
07-MAY-2024,33268.15,33525.5,32998.2,33473,22646365,3838.3
08-MAY-2024,33425.15,33489.65,33237.1,33335.15,21690934,3420.15
09-MAY-2024,33275.75,33454.75,33006.95,33205.85,22524192,3667.94
10-MAY-2024,33166.1,33178.4,32786.55,32935.15,20654068,3537.67
13-MAY-2024,32910.65,33108.25,32669.25,33074.6,13047455,2161.47
14-MAY-2024,33106.75,33321.6,32918.7,33122.85,12917280,2130.64
15-MAY-2024,33144,33292.35,32986.05,33117.4,13671542,2385.51
16-MAY-2024,33364.65,33705.2,33208.25,33668.45,32588198,5324.28
17-MAY-2024,33763.85,33766.7,33361,33381.85,20240867,3729.31
18-MAY-2024,33446.25,33494.45,33394,33438.75,1182120,183.34
21-MAY-2024,33253,33453.6,33191.75,33379.75,21258597,3488.39
22-MAY-2024,33444.25,33724.35,33364.15,33613.05,18821051,3336.45
23-MAY-2024,33683.7,34098.05,33615.35,34042.85,25520373,4600.07
24-MAY-2024,34024.65,34088.2,33761.7,33824.3,15480650,2642.5
27-MAY-2024,33914.45,34227.05,33769.9,33995.25,35818335,4851.93
28-MAY-2024,34095.65,34136.25,33802.05,33880.85,21774750,3414.02
29-MAY-2024,33888.9,33888.9,33515.15,33542.7,20730357,3322.71
30-MAY-2024,33363.9,33433.25,32685.35,32806.75,31454831,4551.17
31-MAY-2024,32732.8,32816.85,32280.8,32386.1,76658095,12863.08
03-JUN-2024,33114.7,33143.55,32455.8,32511.35,26500660,4457.11
04-JUN-2024,32575.2,32594.35,31320.15,32315.55,37341492,5889.78
05-JUN-2024,32464.05,33319.6,32410.8,33087.95,26607830,4375.77
06-JUN-2024,33451.7,34093.15,33343,34023.8,35947445,5916.2
07-JUN-2024,34274.6,35248.1,34256.3,35169.9,81949119,11059.23
10-JUN-2024,35140.45,35167.75,34360.65,34526.25,60828891,12479.97
11-JUN-2024,34600.85,34751.3,34483.4,34531.45,16914732,2858.51
